# CC-CEDICT converted to Zhuyin by tools/build_zhuyin_dictionary.py
# Extended with McBopomofo BPMFMappings.txt and ranked with phrase.occ
# McBopomofo pinned commit: 14f672cd9296deb4ff87034b05003b15a1e796f5
# key<TAB>candidate1 candidate2 ...
ㄇ	姆 嘸 呣
ㄨ	於 無 五 物 務 午 舞 吳 屋 武 誤 惡 污 烏 伍 霧 悟 吾 巫 勿 汙 塢 侮 晤 毋 嗚 兀 唔 蕪 蜈 梧 戊 浯 鶩 嫵 誣 鵡 摀 騖 寤 忤 捂 鄔 鼯 鎢 憮 鋈 廡 麌 婺 扤 杇 杌 洿 牾 〥 㐅 仵 俉 倵 卼 啎 圬 娒 屼 峿 悞 橆 汚 沕 潕 焐 珷 甒 痦 碔 禑 芴 蘁 迕 遻 郚 鋘 鋙 阢 隖 靰 鵐
ㄩ	於 與 育 語 域 予 愈 玉 漁 欲 宇 籲 菸 慾 裕 獄 于 余 羽 愉 娛 浴 喻 瑜 寓 嶼 愚 蔚 禦 癒 虞 御 粥 俞 芋 毓 昱 淤 尉 禹 渝 榆 覦 腴 聿 吁 熨 煜 畬 妤 庾 揄 臾 嫗 窳 瘀 盂 喁 圄 燠 諛 俁 旟 瘉 棫 瑀 禺 菀 堉 彧 竽 紆 圉 崳 歟 峪 噳 楀 罭 傴 楰 淢 淯 瘐 窬 緎 薁 蜮 蝓 褕 㲾 亐 兪 唹 寙 嵎 嵛 庽 忬 悆 敔 斔 斞 杅 棜 欎 欝 歈 澦 灪 焴 燏 狳 玗 璵 矞 礜 箊 籅 緰 繘 羭 舁 艅 萮 萸 蕍 蕷
ㄅㄚ	把 八 吧 巴 爸 伯 拔 罷 霸 芭 壩 叭 跋 疤 扒 峇 靶 笆 耙 杷 捌 鈀 豝 粑 茇 軷 魃 〨 㞎 䰾 丷 仈 垻 妭 岜 弝 朳 欛 灞 犮 猈 菝 蚆 覇 鮁
ㄅㄛ	般 播 波 博 伯 柏 薄 撥 玻 剝 勃 駁 缽 泊 搏 蕃 脖 蔔 舶 帛 菠 箔 擘 跛 膊 簸 亳 渤 蘗 鉑 餑 捭 砵 啵 檗 鈸 鎛 壆 襮 譒 駮 鵓 䬪 僰 哱 嚗 嶓 愽 桲 欂 浡 癶 盋 礡 葧 襏 踣 鉢 鋍 餺 髆 鮊 𨨏
ㄅㄞ	百 白 拜 敗 伯 擺 柏 掰 佰 稗 唄 捭 襬 粺 栢 竡 韛
ㄅㄟ	被 北 備 背 貝 悲 輩 倍 杯 盃 卑 碑 焙 揹 憊 蓓 悖 狽 邶 鵯 唄 孛 陂 褙 琲 㮎 俻 偝 僃 桮 椑 碚 糒 誖 鉳 鋇 鐾 鞁 鞴
ㄅㄠ	保 報 包 寶 暴 抱 爆 胞 堡 薄 飽 葆 剝 炮 曝 鮑 豹 瀑 苞 褒 刨 煲 雹 褓 鴇 孢 儤 勹 媬 寳 曓 緥 菢 蕔 虣 襃 趵 鉋 鑤 闁 齙
ㄅㄢ	辦 版 半 般 班 板 伴 扮 闆 搬 斑 頒 拌 阪 瓣 扳 絆 坂 舨 粄 鈑 昄 瘢 姅 岅 攽 斒 湴 癍 秚
ㄅㄣ	本 奔 笨 苯 夯 賁 畚 坌 坋 楍 犇 逩 錛
ㄅㄤ	幫 棒 邦 榜 綁 膀 傍 磅 鎊 謗 蚌 梆 蒡 塝 幇 幚 搒 浜 牓 玤 艕 蜯 髈 𠳐
ㄅㄥ	崩 蹦 繃 迸 蚌 甭 泵 琫 甏 菶 祊 伻 嘣 埄 埲 甮 綳 鏰
ㄅㄧ	比 必 筆 避 畢 幣 彼 秘 閉 鼻 壁 逼 弊 碧 臂 蔽 泌 斃 俾 痺 庇 敝 璧 辟 拂 鄙 嗶 匕 婢 裨 賁 弼 篳 蓖 駜 陛 妣 畀 薜 毖 荸 蓽 偪 屄 愎 苾 觱 閟 髀 怭 篦 奰 嬖 楅 狴 珌 秕 詖 蹕 鉍 飶 B 䟆 吡 咇 坒 夶 庳 愊 柲 梐 毴 沘 湢 潷 濞 煏 獘 獙 畁 疕 皀 皕 箅 粃 舭 萆 襞 豍 贔 躃 躄 邲 鎞 閇 馝 驆 鰏 鵖 鷩
ㄅㄨ	不 部 步 布 補 佈 捕 堡 埔 怖 卜 簿 哺 埠 蔀 逋 瓿 餔 晡 鈽 㘵 卟 吥 埗 悑 捗 歨 歩 篰 醭 鈈 鵏
ㄆㄚ	派 怕 爬 帕 趴 琶 扒 啪 耙 杷 葩 鈀 掱 筢 苩 跁
ㄆㄛ	破 繁 迫 坡 婆 頗 潑 泊 魄 朴 珀 醱 陂 粕 鄱 皤 叵 釙 PO 廹 桲 笸 蒪 鉕
ㄆㄞ	排 拍 派 牌 迫 徘 湃 俳 哌 棑 簰 蒎 輫
ㄆㄟ	配 培 賠 陪 佩 胚 沛 珮 裴 呸 轡 霈 旆 姵 妚 帔 斾 柸 肧 裵 醅 錇
ㄆㄠ	跑 泡 砲 拋 炮 袍 咆 刨 庖 匏 皰 炰 麃 狍 礮 脬 藨 鞄 麅 麭
ㄆㄡ	剖 裒 掊 㕻 咅 垺 抔
ㄆㄢ	般 判 盤 闆 番 盼 胖 潘 叛 拚 攀 畔 扳 磐 蹣 槃 泮 爿 蟠 磻 袢 媻 幋 柈 湴 眅 縏 襻 詊 鋬 鞶 頖
ㄆㄣ	噴 盆 呠 歕 湓
ㄆㄤ	旁 龐 彷 胖 膀 磅 螃 徬 乓 滂 尨 厖 逄 雱 嗙 庬 耪 髈 鰟 龎
ㄆㄥ	朋 碰 澎 膨 彭 榜 蓬 棚 鵬 捧 烹 抨 篷 砰 怦 芃 椪 硼 踫 掤 掽 䦕 匉 嘭 堋 弸 搒 淜 漰 痭 硑 蟛 輣 閛 鬅
ㄆㄧ	否 皮 批 譬 闢 疲 匹 屁 披 啤 脾 琵 僻 霹 劈 埤 辟 痞 癖 媲 丕 毗 紕 坯 枇 裨 仳 圮 陂 睥 羆 鷿 淠 蜱 毘 疋 伾 秠 貔 甓 砒 芘 蚍 駓 噼 嚭 庀 擗 潎 澼 狉 狓 笓 苉 蚽 邳 郫 鈹 錍 阰 陴 髲 魾 鮍 鴄 鸊 鼙
ㄆㄨ	普 暴 堡 譜 埔 鋪 撲 葡 樸 曝 蒲 舖 浦 僕 菩 瀑 圃 濮 噗 溥 脯 璞 仆 匍 莆 蹼 痡 酺 攴 攵 暜 氆 潽 烳 菐 蒱 誧 鏷 鐠
ㄇˉ	姆
ㄇˊ	嘸 呣
ㄇˋ	呣
ㄇㄚ	麼 馬 嗎 媽 碼 麻 嘛 摩 罵 瑪 抹 螞 痲 蟆 禡 傌 榪 溤 獁 蔴 蟇 駡
ㄇㄛ	沒 麼 無 模 末 莫 摩 默 魔 脈 墨 摸 磨 膜 漠 抹 寞 陌 嬤 沫 妺 謨 摹 驀 茉 蘑 万 歿 秣 瘼 貉 饃 貊 貘 劘 嫫 庅 歾 獏 皌 眽 糢 纆 耱 藦 謩 鄚 鏌 靺 饝 髍
ㄇㄜ	麼 末 嚜 庅 麽
ㄇㄞ	買 賣 麥 脈 邁 埋 霾 嘜 勱 霢 䘑 䥑 蕒 薶 衇 霡
ㄇㄟ	沒 美 每 媒 妹 梅 眉 魅 玫 枚 煤 謎 昧 媚 莓 楣 霉 湄 黴 寐 酶 鎂 糜 袂 沬 嵋 媺 浼 眛 痗 郿 鋂 韎 坆 堳 娒 媄 嵄 楳 槑 渼 煝 猸 珻 瑂 睂 禖 篃 脢 腜 苺 鎇 鶥
ㄇㄠ	毛 貿 貌 冒 貓 帽 茂 矛 茅 卯 髦 錨 懋 冇 瑁 昴 袤 楙 旄 蟊 耄 茆 眊 芼 㡌 冃 冐 夘 媢 峁 愗 戼 毷 氂 泖 皃 瞀 蝐 蝥 鄮 酕 鉚 髳
ㄇㄡ	某 謀 牟 繆 眸 哞 侔 厶 蛑 鉾 鍪 麰
ㄇㄢ	滿 慢 漫 蠻 曼 埋 蔓 瞞 鰻 饅 謾 嫚 幔 顢 縵 蟎 墁 屘 槾 澫 熳 鄤 鏝 鬗 鬘
ㄇㄣ	們 門 悶 捫 燜 懣 亹 璊 穈 暪 鍆 樠
ㄇㄤ	忙 盲 茫 芒 氓 莽 蟒 鋩 尨 邙 哤 杗 杧 漭 牤 牻 硭 笀 茻 蠎 駹
ㄇㄥ	夢 盟 蒙 孟 猛 萌 氓 濛 檬 朦 艋 矇 懵 蜢 蠓 虻 錳 黽 幪 甍 懞 䖟 䗈 冡 勐 夣 曚 獴 甿 瞢 礞 艨 莔 蝱 鸏
ㄇㄧ	密 米 迷 秘 祕 蜜 彌 謎 靡 覓 泌 咪 瀰 獼 瞇 弭 謐 糜 汨 宓 麋 糸 冪 醚 敉 冞 嘧 禰 縻 羋 冖 塓 峚 幦 洣 濔 灖 眯 羃 脒 蓂 蘼 袮 覔 詸 醾 銤 麛 鼏
ㄇㄨ	目 母 模 木 幕 牧 募 姆 慕 墓 穆 牡 畝 牟 暮 沐 拇 繆 睦 姥 苜 楘 鉬 霂 仫 娒 幙 毪 牳 畂 畆 畒 畮 鉧 𧿹
ㄈㄚ	法 發 乏 罰 髮 伐 閥 琺 筏 醱 砝 茷 鍅 㳒 䂲 佱 垡 栰 橃 沷 灋 罸
ㄈㄛ	佛 坲
ㄈㄟ	非 費 飛 廢 啡 肥 菲 肺 匪 妃 沸 翡 斐 緋 吠 扉 狒 誹 霏 蜚 悱 腓 芾 鯡 癈 騑 怫 䬠 俷 剕 厞 奜 屝 朏 棐 榧 櫠 淝 疿 痱 砩 篚 胇 鐨 馡
ㄈㄡ	否 紑 缶
ㄈㄢ	反 範 翻 飯 犯 繁 煩 凡 返 販 番 泛 范 帆 蕃 氾 藩 梵 樊 汎 璠 幡 燔 蘩 旛 畈 釩 鷭 㠶 凢 墦 嬎 払 橎 礬 笲 笵 籓 籵 緐 繙 膰 薠 蠜 蹯 鐇 颿 飜 飰 魬
ㄈㄣ	分 份 紛 粉 奮 氛 芬 憤 焚 墳 糞 忿 吩 酚 汾 棻 僨 枌 雰 幩 棼 濆 蕡 饙 坆 朆 瀵 玢 瞓 羵 蚡 豶 轒 魵 鱝 鳻 鼖 鼢
ㄈㄤ	方 放 防 房 訪 芳 妨 仿 坊 紡 肪 枋 舫 倣 魴 髣 匚 旊 昉 淓 瓬 蚄 邡 鈁
ㄈㄥ	風 豐 封 峰 鳳 奉 鋒 逢 縫 瘋 諷 蜂 馮 楓 烽 俸 丰 豊 葑 唪 㷭 䗬 凮 埄 夆 峯 崶 摓 浲 渢 漨 灃 犎 甮 碸 綘 蠭 覂 賵 鄷 酆 鏠 飌 鳯
ㄈㄨ	府 服 負 父 福 夫 復 富 副 付 附 婦 複 輔 符 幅 佛 覆 浮 膚 赴 腹 賦 腐 扶 彿 伏 傅 撫 輻 甫 弗 敷 俯 芙 袱 釜 縛 孵 斧 蝠 拂 俘 咐 孚 嘸 脯 腑 阜 匐 氟 伕 訃 褔 馥 宓 芾 巿 茀 蜉 桴 芣 跗 茯 咈 趺 怫 拊 枹 紼 罦 莩 葍 蝮 衭 㳇 䴸 乀 乶 俛 偩 刜 呋 坿 媍 嬔 尃 帗 幞 弣 柎 泭 洑 涪 滏 玞 琈 砆 砩 祓 祔 稃 笰 箙 簠 粰 紱 綍 罘 艴 苻 菔 虙 蚨 蚹 蜅 袚 襆 襥 賻 輹 郙 郛 鄜 釡 鈇 韍 頫
ㄉㄚ	大 打 達 答 搭 瘩 沓 疸 妲 噠 躂 韃 靼 怛 嗒 荅 耷 龘 剳 咑 墶 汏 炟 笪 繨 羍 薘 褡 迏 鐽 龖
ㄉㄜ	的 地 得 底 德 淂 㝵 㥁 嘚 悳 惪 鍀
ㄉㄞ	大 代 帶 待 袋 貸 戴 呆 逮 歹 黛 怠 殆 岱 迨 獃 玳 傣 紿 侢 呔 垈 埭 槑 歺 瑇 甙 艜 蝳 襶 軚 靆 黱 𠯪
ㄉㄟ	得
ㄉㄠ	到 道 導 倒 島 刀 盜 蹈 稻 禱 悼 搗 叨 忉 擣 氘 纛 翿 㠀 刂 壔 嶋 嶌 幬 捯 燾 禂 稲 舠 衟 魛
ㄉㄡ	都 讀 鬥 豆 斗 抖 逗 陡 兜 痘 荳 竇 蚪 枓 兠 唞 篼 脰 蔸 閗 餖 鬦 鬪 鬬 鬭
ㄉㄢ	但 單 石 擔 彈 蛋 淡 旦 膽 誕 丹 耽 氮 澹 憚 眈 疸 亶 啖 撢 簞 撣 殫 鄲 髧 僤 儋 噉 癉 膻 萏 襌 酖 勯 啗 妉 媅 憺 抌 柦 甔 疍 砃 窞 紞 耼 聃 蜑 賧 躭 霮 鴠
ㄉㄣ	㩐 扽
ㄉㄤ	當 黨 檔 擋 盪 蕩 噹 宕 襠 鐺 璫 愓 讜 儅 凼 壋 攩 氹 碭 簜 簹 菪 蟷 譡 逿
ㄉㄥ	等 登 燈 鄧 澄 瞪 凳 鐙 蹬 磴 嶝 僜 噔 戥 櫈 簦 豋
ㄉㄧ	的 地 第 提 底 低 弟 帝 抵 敵 遞 迪 滴 締 蒂 笛 堤 狄 諦 邸 滌 棣 柢 牴 娣 翟 砥 嘀 荻 詆 坻 杕 隄 嫡 氐 墬 玓 睇 禘 絛 羝 蝃 碲 覿 蹢 鬄 俤 呧 哋 啲 廸 弤 梊 渧 珶 甋 篴 糴 菂 菧 蔋 蔕 螮 觝 踶 遰 釱 鍉 鏑 靮 鞮 頔 骶 髢 鸐
ㄉㄨ	都 度 讀 獨 毒 督 杜 渡 賭 肚 睹 堵 篤 嘟 妒 鍍 瀆 蠹 牘 犢 竺 闍 櫝 髑 黷 凟 匵 厾 喥 妬 殰 芏 螙 蠧 覩 讟 贕 韣 𨧀
ㄊㄚ	他 她 它 牠 塔 踏 拓 塌 榻 祂 撻 蹋 沓 獺 遢 漯 褟 遝 闥 嗒 趿 TA 㐌 嚃 墖 搨 毾 溻 禢 譶 鉈 錔 鎉 鎝 闒 鰨
ㄊㄜ	特 忑 慝 忒 犆 鋱
ㄊㄞ	台 太 態 泰 胎 抬 颱 汰 檯 苔 鈦 跆 邰 肽 鮐 儓 呔 忕 忲 擡 斄 枱 炱 炲 臺 薹 酞 駘
ㄊㄟ	忒
ㄊㄠ	討 套 桃 逃 陶 淘 萄 濤 掏 滔 叨 饕 韜 慆 搯 啕 咷 絛 檮 洮 綯 鞀 㲈 匋 弢 燾 縚 縧 醄 鞉 騊 鼗
ㄊㄡ	頭 投 透 偷 骰 亠 偸 妵 媮 斢 牏 鈄 黈
ㄊㄢ	談 彈 探 坦 壇 攤 嘆 貪 灘 潭 碳 毯 炭 歎 譚 癱 宕 坍 痰 檀 袒 曇 澹 覃 忐 嘽 罈 錟 惔 菼 醰 嗿 襢 餤 倓 墰 墵 壜 怹 榃 璮 禫 罎 贉 郯 醓 鉭 鐔 黮
ㄊㄤ	堂 糖 唐 湯 盪 躺 趟 燙 塘 倘 棠 醣 膛 淌 帑 螳 搪 鏜 儻 踼 瑭 螗 蹚 䠀 劏 啺 嘡 埫 樘 溏 煻 篖 羰 赯 鎲 钂 餹 饄
ㄊㄥ	騰 疼 藤 籐 謄 滕 螣 熥 縢 邆 鼟
ㄊㄧ	體 提 題 弟 替 梯 踢 剔 蹄 啼 惕 涕 剃 屜 緹 嚏 悌 醍 逖 媞 倜 鵜 荑 趯 銻 揥 洟 籊 薙 裼 鬄 鯷 鶗 䶑 厗 嗁 嚔 悐 擿 殢 禔 稊 綈 蹏 躰 軆 騠 鬀 鷈 鷉
ㄊㄨ	圖 土 突 途 徒 吐 塗 兔 凸 屠 禿 涂 荼 瘏 稌 釷 㻬 兎 凃 堍 宊 峹 嵞 痜 腯 菟 葖 酴 駼 鵵 𩵚
ㄋㄚ	那 南 拿 哪 納 娜 吶 鈉 捺 衲 拏 軜 㧱 乸 挐 肭 鎿
ㄋㄜ	呢 哪 訥 㕯 疒
ㄋㄞ	妳 乃 奶 耐 奈 迺 鼐 倷 嬭 廼 柰 氖 艿 萘 螚 褦 釢 錼
ㄋㄟ	內 哪 餒 氝
ㄋㄠ	腦 鬧 惱 撓 淖 瑙 呶 孬 橈 猱 蟯 鐃 匘 堖 夒 嫐 峱 憹 硇 碯 臑 譊 閙
ㄋㄡ	耨 獳 鎒
ㄋㄢ	難 南 男 喃 楠 囝 囡 赧 湳 腩 戁 侽 娚 暔 枏 柟 蝻 諵
ㄋㄣ	嫩 恁 嫰
ㄋㄤ	囊 囔 曩 乪 攮 灢 饢 齉
ㄋㄥ	能
ㄋㄧ	你 呢 尼 妳 擬 泥 逆 妮 膩 匿 溺 倪 暱 霓 睨 怩 昵 惄 旎 薿 輗 鯢 麑 伱 伲 儗 儞 坭 堄 柅 氼 猊 祢 秜 蜺 衵 袮 郳 鈮 鉨 齯
ㄋㄨ	努 怒 奴 弩 呶 駑 孥 砮 笯 胬
ㄋㄩ	女 䶊 恧 籹 衂 衄 釹
ㄌㄚ	落 拉 啦 垃 辣 臘 蠟 喇 剌 邋 旯 鑞 䗶 揦 攋 楋 瘌 砬 磖 臈 蝲 辢 鞡 鬎
ㄌㄛ	咯
ㄌㄜ	了 樂 勒 泐 仂 叻 扐 砳 簕 艻 阞 餎 鰳
ㄌㄞ	來 賴 萊 睞 瀨 籟 徠 癩 錸 賚 崍 棶 騋 唻 孻 淶 箂 藾 郲 頼 鯠 鶆
ㄌㄟ	類 累 雷 勒 淚 壘 蕾 磊 肋 纍 儡 擂 羸 藟 縲 罍 誄 纇 耒 鐳 儽 嘞 嫘 攂 樏 檑 欙 畾 磥 礌 礧 絫 蔂 虆 酹 靁 鸓
ㄌㄠ	老 樂 落 勞 絡 牢 撈 酪 佬 烙 嘮 澇 潦 姥 癆 栳 醪 㧯 咾 哰 嫪 嶗 狫 窂 粩 耮 轑 銠 鐒 髝
ㄌㄡ	樓 露 漏 陋 摟 嘍 簍 婁 髏 鏤 瞜 僂 螻 漊 蔞 剅 塿 嶁 瘺 瘻 耬
ㄌㄢ	蘭 覽 藍 爛 籃 欄 懶 濫 攬 攔 欖 纜 瀾 婪 嵐 闌 斕 襤 嬾 㘓 㩜 囒 壈 孄 孏 惏 擥 漤 灠 燗 爤 籣 罱 襴 襽 讕 躝 鑭
ㄌㄤ	浪 朗 郎 狼 廊 榔 螂 瑯 琅 啷 鎯 塱 稂 鋃 莨 閬 㫰 埌 嫏 崀 桹 烺 筤 蒗 蜋 郞
ㄌㄥ	冷 稜 楞 愣 棱 崚 塄 睖 薐 踜
ㄌㄧ	理 力 裡 立 利 例 李 歷 離 禮 里 麗 勵 厲 莉 璃 粒 曆 罹 栗 哩 釐 梨 隸 壢 籬 俐 靂 狸 厘 吏 瀝 蒞 笠 鯉 漓 犁 礫 鋰 礪 儷 戾 痢 荔 慄 驪 俚 琍 櫟 藜 醴 唳 鸝 蠣 浬 豊 娌 邐 貍 鱺 嚦 櫪 蜊 褵 喱 犛 癘 篥 酈 唎 澧 瓅 砅 蠡 悝 栵 縭 纚 苙 詈 轢 鱧 㮚 傈 凓 剺 劙 厤 嚟 嫠 屴 悧 悷 栃 梩 梸 棃 樆 檪 欐 歴 沴 浰 涖 溧 漦 濿 灕 犂 猁 瓈 癧 皪 盭 糲 脷 茘 蔾 藶 蘺 裏 躒 醨 鉝 隷 鬁 鬲 鴗
ㄌㄨ	路 六 錄 陸 綠 露 魯 爐 盧 鹿 祿 碌 鷺 蘆 廬 嚕 滷 擄 顱 戮 虜 麓 賂 轆 鱸 漉 蓼 潞 櫓 璐 臚 鹵 籙 逯 輅 瀘 穋 鸕 僇 淥 甪 鑪 㯭 剹 勠 坴 壚 彔 擼 樐 櫨 氌 瀂 玈 琭 盝 磠 稑 簏 簬 籚 纑 罏 膔 艣 艪 艫 菉 蕗 轤 醁 錴 鑥 騄 鯥
ㄌㄩ	率 旅 律 慮 綠 呂 履 侶 濾 屢 鋁 氯 縷 驢 櫚 褸 僂 捋 閭 藘 漊 膂 卛 垏 嵂 梠 稆 穭 膟 葎 鑢 馿
ㄍㄚ	咖 夾 尬 嘎 軋 噶 伽 胳 戛 旮 嘠 尕 尜 玍 釓 魀
ㄍㄜ	個 合 各 格 歌 革 哥 蓋 隔 閣 割 葛 戈 擱 鴿 骼 咯 箇 疙 胳 鎘 蛤 紇 鉻 嗝 閤 仡 哿 硌 膈 搿 舸 茖 亇 嗰 嘅 圪 塥 挌 擖 渮 肐 虼 袼 觡 謌 輵 轕 鎶 餎 鬲
ㄍㄞ	該 改 概 蓋 鈣 溉 芥 丐 賅 垓 㱾 乢 侅 匃 匄 戤 槩 槪 荄 賌 陔
ㄍㄟ	給 假
ㄍㄠ	高 告 搞 稿 糕 膏 羔 鎬 皋 篙 誥 槁 縞 杲 櫜 鼛 鋯 吿 暠 槀 槔 槹 皐 睾 稾 臯 藁 藳 郜 餻 髙
ㄍㄡ	夠 構 購 句 溝 狗 勾 鉤 苟 垢 詬 枸 覯 篝 搆 佝 笱 媾 耇 冓 雊 姤 岣 彀 緱 耈 耉 遘 鈎 鞲 韝
ㄍㄢ	感 幹 乾 趕 敢 干 肝 甘 桿 竿 尷 橄 杆 柑 淦 紺 咁 稈 贛 矸 酐 坩 榦 泔 玕 疳 乹 亁 倝 尲 尶 擀 旰 檊 澉 灨 筸 苷 虷 贑 骭 鱤
ㄍㄣ	跟 根 亙 艮 哏 茛
ㄍㄤ	剛 港 鋼 綱 崗 岡 缸 扛 槓 肛 摃 杠 釭 冮 堈 堽 戇 疘 笐 罁 罡 舡 鿍
ㄍㄥ	更 耕 頸 庚 梗 耿 羹 賡 哽 焿 埂 鯁 㹴 浭 畊 絚 綆 緪 羮 郠 骾 鶊
ㄍㄨ	故 古 股 顧 鼓 估 固 骨 谷 孤 姑 雇 辜 僱 穀 賈 菇 咕 呱 榖 蠱 鈷 梏 錮 箍 沽 牯 罟 盬 詁 鵠 瞽 鴣 嘏 轂 汩 痼 觚 酤 凅 牿 罛 羖 蛄 鶻 唂 唃 堌 崓 崮 扢 榾 泒 濲 瀔 皷 祻 箛 臌 菰 蓇 蛌 軱 軲 餶 鯝 𦙶
ㄎㄚ	卡 咖 喀 佧 咔 胩 鉲
